Reef_id,site_id,site_name,site_latitude,site_longitude,survey_start_date,Year,survey_depth,transect_id,type,GROUP,COUNT,TOTAL
Agincourt Reef No.1,360,Agincourt Reef No.1 Site 1,-16.04,145.87,2017-12-15T14:00:00Z,2017,9,36093,point_machine_classification,HC,4,30
Agincourt Reef No.1,360,Agincourt Reef No.1 Site 1,-16.04,145.87,2017-12-15T14:00:00Z,2017,9,36094,point_human_classification,HC,5,60
Agincourt Reef No.1,360,Agincourt Reef No.1 Site 1,-16.04,145.87,2017-12-15T14:00:00Z,2017,9,36094,point_machine_classification,HC,7,60
Agincourt Reef No.1,360,Agincourt Reef No.1 Site 1,-16.04,145.87,2017-12-15T14:00:00Z,2017,9,36095,point_human_classification,HC,6,50
Agincourt Reef No.1,360,Agincourt Reef No.1 Site 1,-16.04,145.87,2017-12-15T14:00:00Z,2017,9,36095,point_machine_classification,HC,5,50
Agincourt Reef No.1,360,Agincourt Reef No.1 Site 1,-16.04,145.87,2019-02-17T14:00:00Z,2019,9,36091,point_human_classification,HC,14,55
Agincourt Reef No.1,360,Agincourt Reef No.1 Site 1,-16.04,145.87,2019-02-17T14:00:00Z,2019,9,36091,point_machine_classification,HC,16,55
Agincourt Reef No.1,360,Agincourt Reef No.1 Site 1,-16.04,145.87,2019-02-17T14:00:00Z,2019,9,36092,point_human_classification,HC,8,45
Agincourt Reef No.1,360,Agincourt Reef No.1 Site 1,-16.04,145.87,2019-02-17T14:00:00Z,2019,9,36092,point_machine_classification,HC,12,45
Agincourt Reef No.1,360,Agincourt Reef No.1 Site 1,-16.04,145.87,2019-02-17T14:00:00Z,2019,9,36093,point_human_classification,HC,5,50
Agincourt Reef No.1,360,Agincourt Reef No.1 Site 1,-16.04,145.87,2019-02-17T14:00:00Z,2019,9,36093,point_machine_classification,HC,5,50
Agincourt Reef No.1,360,Agincourt Reef No.1 Site 1,-16.04,145.87,2019-02-17T14:00:00Z,2019,9,36094,point_human_classification,HC,0,30
Agincourt Reef No.1,360,Agincourt Reef No.1 Site 1,-16.04,145.87,2019-02-17T14:00:00Z,2019,9,36094,point_machine_classification,HC,1,30
Agincourt Reef No.1,360,Agincourt Reef No.1 Site 1,-16.04,145.87,2019-02-17T14:00:00Z,2019,9,36095,point_human_classification,HC,6,45
